region,week_end,SUBSCRIBERS,Total_Calls_Offered,DEV_CNT_ARRIS,DEV_CNT_CSICO,DEV_CNT_MOTOROLA,DEV_CNT_NETGEAR,DEV_CNT_UBEE,DEV_CNT_OTHER,STARTER,SEASONAL,ULTIMATE,ESSENTIAL,C2C,PREMIER,PREFERRED,NO_TIER,GIGABIT
Southeast,1/4/15,161084,4992,17683,114182,170966,11501,6943,25948,0.101877771,0.004945997,0.012648578,0.220819535,0.001140446,0.102676693,0.555866586,2.44E-05,0
Southeast,1/11/15,162751,5660,17599,114600,170996,11774,7243,25964,0.098697161,0.004265828,0.011517734,0.214813771,0.000896215,0.100947483,0.568846152,1.57E-05,0
Southeast,1/18/15,162867,5298,17453,114909,170997,11980,7579,25959,0.104134294,0.004069516,0.010285065,0.227336494,0.000902129,0.105111932,0.548136726,2.38E-05,0
Southeast,1/25/15,162874,6117,17344,115182,170987,12248,7810,25967,0.098437426,0.004843624,0.012829057,0.219736278,0.001261484,0.104512781,0.558361499,1.79E-05,0
Southeast,2/1/15,161733,4956,17197,115505,171003,12507,7982,25961,0.097939116,0.00468253,0.012671383,0.2196849,0.001233447,0.105145644,0.558614428,2.86E-05,0
Southeast,2/8/15,159606,4924,17080,115730,170959,12764,8328,25976,0.09694857,0.004834474,0.013101954,0.219070556,0.001307251,0.105104168,0.559603585,2.94E-05,0
Southeast,2/15/15,164109,5076,16952,115717,170916,13031,8678,25975,0.0968499,0.004813233,0.013400615,0.218387029,0.001349616,0.105580604,0.559589143,2.99E-05,0
Southeast,2/22/15,164148,5231,16863,115698,170961,13353,8950,25980,0.095641361,0.004761736,0.013407117,0.217643176,0.001343658,0.106137218,0.561036267,2.95E-05,0
Southeast,3/1/15,164473,6660,16788,115816,171020,13821,9233,25983,0.096357581,0.004693719,0.013460356,0.217761868,0.001357639,0.10590167,0.560438158,2.90E-05,0
Southeast,3/8/15,165347,5084,16694,115926,171009,14240,9498,25986,0.095227408,0.004931462,0.013831716,0.217645773,0.001417426,0.10705701,0.559859675,2.95E-05,0
Southeast,3/15/15,165542,4885,16609,115921,171023,14711,9749,25980,0.094315047,0.00479568,0.013966679,0.218238979,0.001474228,0.107754793,0.559424992,2.96E-05,0
Southeast,3/22/15,165845,5081,16519,115920,170992,15100,10017,25986,0.093572463,0.004866237,0.013971377,0.217426992,0.001459871,0.108546402,0.560127343,2.93E-05,0
Southeast,3/29/15,166015,4440,16428,115879,171003,15448,10265,25999,0.093406334,0.004856257,0.014056036,0.218154387,0.001532314,0.108758943,0.559206261,2.95E-05,0
Southeast,4/5/15,165965,5056,16361,115906,171060,15770,10573,26016,0.093275627,0.00484057,0.01407901,0.217516922,0.001543623,0.109183685,0.559531437,2.91E-05,0
Southeast,4/12/15,166218,5423,16290,115880,171030,15993,10886,26022,0.092546828,0.004913212,0.014322863,0.217496199,0.001637737,0.109616863,0.559436947,2.94E-05,0
Southeast,4/19/15,166478,5380,16211,115954,171124,16168,11303,26030,0.09225192,0.004864951,0.014377457,0.216995599,0.001651028,0.110272214,0.559557454,2.94E-05,0
Southeast,4/26/15,166235,5079,16102,115907,171099,16321,11729,26036,0.091662175,0.00489771,0.014534952,0.216354604,0.001652099,0.110784337,0.560084831,2.93E-05,0
Southeast,5/3/15,166301,8637,16039,116005,171187,16427,12232,26040,0.091780886,0.004900126,0.014665294,0.216289704,0.001684053,0.11115919,0.559497357,2.34E-05,0
Southeast,5/10/15,167625,4570,15958,115770,171029,16492,12685,26057,0.091299889,0.004976623,0.014628607,0.215657534,0.001674324,0.111530819,0.56020903,2.32E-05,0
Southeast,5/17/15,166910,5915,15880,115716,171034,16568,13199,26062,0.091081005,0.005275052,0.014777171,0.216124915,0.001738835,0.112386127,0.558593476,2.34E-05,0
Southeast,5/24/15,167316,7112,15820,115696,171122,16694,13624,26113,0.090957881,0.005460273,0.015114922,0.215814957,0.001726753,0.112787306,0.558114572,2.33E-05,0
Southeast,5/31/15,166962,7870,15757,115689,171185,16827,14010,26113,0.090466982,0.005673726,0.014890636,0.21510369,0.001731065,0.113526626,0.558584116,2.32E-05,0
Southeast,6/7/15,167787,6137,15670,115531,171242,16935,14517,26220,0.090638498,0.006034428,0.015091883,0.215745322,0.001784749,0.113834419,0.556835821,2.91E-05,5.81E-06
Southeast,6/14/15,167659,5573,15608,115291,171264,17034,15229,26280,0.09015259,0.006225072,0.015334933,0.21565845,0.001792774,0.114795933,0.555999369,2.92E-05,1.17E-05
Southeast,6/21/15,167306,5747,15546,115206,171256,17144,15851,26424,0.090061768,0.006340078,0.015526483,0.216029257,0.001813951,0.11535792,0.554823883,2.33E-05,2.33E-05
Southeast,6/28/15,167220,6656,15479,115205,171356,17290,16344,26558,0.089883779,0.006349946,0.01554863,0.216003029,0.001794297,0.116279747,0.554076491,2.91E-05,3.50E-05
Southeast,7/5/15,167074,6351,15418,115140,171437,17421,16892,26570,0.089611662,0.006355151,0.015596912,0.215366444,0.001791888,0.116755013,0.554471076,3.46E-05,1.73E-05
Southeast,7/12/15,167356,5858,15357,115157,171475,17586,17571,26584,0.089045945,0.006399889,0.015999724,0.215432252,0.001812918,0.117724586,0.553538644,2.88E-05,1.73E-05
Southeast,7/19/15,167595,5918,15272,114985,171393,17731,18139,26599,0.088674685,0.006433792,0.016049951,0.216067215,0.001962364,0.118645336,0.55210911,2.88E-05,2.88E-05
Southeast,7/26/15,167946,6428,15204,114951,171410,17847,18654,26621,0.088141385,0.006403065,0.016114093,0.215155647,0.002036554,0.119627437,0.552452782,2.88E-05,4.03E-05
Southeast,8/2/15,167399,6299,15124,115061,171511,18024,19299,26625,0.087852804,0.006336774,0.016155919,0.215815674,0.001992373,0.119759317,0.552001507,4.00E-05,4.57E-05
Southeast,8/9/15,168340,6404,15027,114951,171565,18358,19875,26731,0.087226498,0.006209461,0.016374067,0.217019805,0.002052524,0.120378218,0.550664476,3.46E-05,4.04E-05
Southeast,8/16/15,169042,5999,14951,114931,171553,18784,20277,26847,0.086710672,0.005916755,0.016353728,0.216337768,0.002080555,0.1221371,0.55037792,3.99E-05,4.56E-05
Southeast,8/23/15,169120,5470,14871,114986,171628,19413,20570,26855,0.086731816,0.005641186,0.016553178,0.217003333,0.00211402,0.122191515,0.549696573,2.85E-05,3.99E-05
Southeast,8/30/15,169788,4705,14784,114950,171601,19919,20812,26859,0.086515797,0.005484792,0.016658356,0.217266896,0.002232446,0.122756221,0.549011831,3.40E-05,3.97E-05
Southeast,9/6/15,169576,4761,14711,115041,171687,20253,21335,26872,0.08620341,0.005487408,0.017220462,0.217620364,0.002263485,0.123508796,0.547611826,4.49E-05,3.93E-05
Southeast,9/13/15,169544,4199,14646,114993,171648,20441,21741,26850,0.086840253,0.005466573,0.016827586,0.217542576,0.002319493,0.124340605,0.546578466,4.50E-05,3.94E-05
Southeast,9/20/15,170255,4214,14571,115033,171671,20608,22248,26857,0.086601289,0.005478549,0.016781897,0.218321028,0.002317633,0.12428656,0.546140443,3.35E-05,3.91E-05
Southeast,9/27/15,170710,4598,14511,114938,171688,20799,22778,26839,0.08595573,0.005378136,0.016967798,0.217670067,0.002383492,0.125408361,0.546175301,2.22E-05,3.89E-05
Southeast,10/4/15,170554,4485,14428,114902,171722,20944,23349,26848,0.08565108,0.005425435,0.016951027,0.218223046,0.002416835,0.12573625,0.545524431,2.77E-05,4.42E-05
Southeast,10/11/15,170497,4512,14368,114852,171704,21071,23886,26847,0.086253265,0.005295719,0.016988357,0.218109478,0.002512285,0.126676701,0.544097791,2.21E-05,4.43E-05
Southeast,10/18/15,170838,4438,14301,114822,171702,21177,24409,26861,0.088993563,0.005026018,0.016863548,0.216764902,0.002451355,0.127031493,0.542805001,2.47E-05,3.95E-05
Southeast,10/25/15,171322,4885,14252,114796,171705,21332,24847,26847,0.085290843,0.005092649,0.017410906,0.21885713,0.002535301,0.127602817,0.543138703,3.31E-05,3.86E-05
Southeast,11/1/15,170672,4892,14209,114837,171668,21456,25232,26871,0.085451103,0.005085979,0.017362287,0.219885288,0.002604065,0.127943455,0.541595642,3.33E-05,3.89E-05
