"","x"
"151",28458.2708993663
"152",27821.8968192839
"153",57554.348489501
"154",51105.2151494232
"155",11872.8616720596
"156",27050.5385367827
"157",34191.5829571629
"158",21852.6298697801
"159",70890.6116739573
"160",78433.5890991505
"161",15205.7480587896
"162",43029.2797730636
"163",25568.9058298273
"164",42227.2180467391
"165",28766.2956716051
"166",23305.1575896244
"167",43046.9086821578
"168",26191.7924455201
"169",28893.9074481605
"170",43055.1799884012
"171",32634.5365972883
"172",13648.4023953877
"173",34881.0682262663
"174",38504.5204734271
"175",32973.9482522851
"176",20044.5104691087
"177",29131.937417833
"178",33988.3260410444
"179",24140.8917397892
"180",20814.4235250597
"181",17213.5930497287
"182",26481.6211981611
"183",27597.214612332
"184",50383.6060697738
"185",40126.8316153442
"186",65508.0240490877
"187",69118.6671194117
"188",36454.2668460964
"189",32696.1031547506
"190",5287.5907024847
"191",49467.4846847562
"192",32191.0652432285
"193",43663.8901777601
"194",47291.5564768801
"195",31600.3040469361
"196",66932.6476773419
"197",39847.2301024664
"198",27904.3568983706
"199",17068.6661732798
"200",66050.3617610965
"201",71636.5689973955
"202",47742.0182382682
"203",82125.1282919429
"204",20228.2457086579
"205",69814.2690032248
"206",111184.5896371
"207",70460.6345033474
"208",38937.1593483112
"209",48687.2791465232
"210",67094.7841274365
"211",64685.4026197805
"212",67762.2446576037
"213",88278.0252199339
"214",35476.6981429066
"215",44012.8754779706
"216",30480.0908149918
"217",90006.3913396667
"218",136020.080771768
"219",72660.6834066664
"220",221652.681261503
"221",197092.469731512
"222",98943.0371866879
"223",137429.199643655
"224",110088.809135978
"225",223553.360853484
"226",171637.252090385
"227",24702.1028455128
"228",86927.9491645948
"229",95067.3507294365
"230",120539.041761505
"231",211944.190577167
"232",78019.4699315567
"233",195808.338876243
"234",206803.250219768
"235",100990.27602804
"236",113122.292759356
"237",254555.291440235
"238",338700.308163848
"239",148666.708877424
"240",139592.98445748
"241",286537.697434881
"242",323742.838233866
"243",304209.418423373
"244",261475.192618264
"245",97499.0809915499
"246",251033.895366981
"247",123384.229193396
"248",313813.575278151
"249",429008.333815946
"250",325169.488398474
"251",421940.961465549
"252",454495.891982217
"253",465821.215352011
"254",351131.423801924
"255",208932.709880487
"256",275328.518291646
"257",456908.489164762
"258",364110.383837499
"259",246341.558051402
"260",600898.554245283
"261",508745.461122636
"262",830738.771823133
"263",1182053.7671451
"264",889709.839646061
